episodes,scores,avg_scores
623,-670,-796.9019567630381
624,-461,-799.6619567630382
625,-2,-797.6119567630382
626,112,-793.6019567630382
627,-250,-793.2419567630382
628,-558,-746.0281554305042
629,-2,-746.0381554305042
630,-576,-748.1581554305042
631,-646,-752.8781554305041
632,-658,-759.1281554305041
633,-16,-756.9481554305041
634,-687,-761.8881554305041
635,-2310,-783.2881554305042
636,-48,-780.7981554305042
637,-114,-778.3081554305041
638,-236,-780.0081554305041
639,-475.0617184735345,-783.7687726152394
640,-389,-784.0987726152395
641,-289,-784.3987726152394
642,-329,-786.2787726152394
643,-215,-778.4887726152394
644,-41,-772.5887726152395
645,-253,-767.0213290238421
646,-169,-768.8013290238421
647,12,-765.9613290238422
648,-2970.5987982108686,-790.4273170059507
649,-695,-794.4073170059507
650,-3109.6869599348724,-826.0741866052995
651,-108,-823.2741866052995
652,-1313,-829.1441866052996
653,-1421,-808.3541866052997
654,-402,-808.0641866052996
655,-735.0162435063431,-815.184349040363
656,-453,-811.7017124222236
657,-359,-812.2117124222237
658,-2188.189350913417,-831.2736059313579
659,-745,-835.0636059313579
660,-485,-838.2536059313579
661,-279,-840.2136059313578
662,-345,-843.2536059313579
663,-464,-847.5336059313579
664,-195,-840.009997980583
665,-572.603331178754,-844.0260312923705
666,42,-837.6860312923704
667,-104,-837.0260312923705
668,-837.5866440740705,-808.2805424735526
669,-1579,-609.1240190307866
670,-119,-606.9340190307865
671,-491,-611.8340190307865
672,-135,-612.0440190307866
673,-344,-612.9840190307865
674,-834,-621.3040190307865
675,-411,-625.6440190307865
676,46,-623.8040190307865
677,-443,-622.8840190307865
678,-444,-624.4040190307866
679,-347,-627.4640190307865
680,-355,-625.7040190307866
681,-443,-629.3340190307865
682,-1261.354029278628,-640.2375593235729
683,-51.019413467135145,-638.2877534582441
684,-8253.16167115454,-716.4093701697897
685,-350,-719.8993701697894
686,-364,-703.6793701697894
687,-317,-703.3893701697895
688,-389,-702.5693701697896
689,-286,-699.2593701697895
690,-253,-698.6193701697896
691,-244,-696.7793701697894
692,-1167,-700.1393701697896
693,-9.051665372504669,-696.3698868235145
694,-92,-696.812818906219
695,-159,-694.4910695797921
696,-117,-612.2458789958755
697,-862,-615.5058789958755
698,-3500,-650.8958789958755
699,-123,-651.6658789958755
700,-460,-655.8658789958755
701,-927,-664.6858789958756
702,-97,-660.4958789958755
703,-67,-660.7758789958756
704,-546,-663.3558789958755
705,-695,-670.7958789958756
706,-503.7259119546576,-671.4831381154221
707,-93,-670.343138115422
708,135,-665.5131381154221
709,-65,-663.903138115422
710,-439,-661.8275817813065
711,-122,-662.7375817813065
712,-406,-617.7305573751933
713,-324,-619.7705573751932
714,-3239,-650.0305573751932
715,-924.6442265193303,-648.7169996403866
716,-158,-648.3269996403866
717,-376,-649.6369996403865
718,-237,-646.6469996403865
719,-3,-644.0069996403865
720,-322,-642.1069996403864
721,-748,-615.5969996403866
722,-250,-615.7369996403866
723,-256,-611.5969996403866
724,-441,-611.3969996403865
725,47,-610.9069996403865
726,-390,-615.9269996403866
727,-943.9570598137989,-622.8665702385246
728,15,-617.1365702385245
729,-50,-617.6165702385246
730,-717.1236777411606,-619.0278070159362
731,-148,-614.0478070159362
732,-282,-610.2878070159361
733,-393,-614.0578070159362
734,-392,-611.1078070159361
735,-382,-591.8278070159362
736,-35,-591.6978070159362
737,-192,-592.4778070159362
738,-1,-590.1278070159361
739,-296,-588.3371898312008
740,-71,-585.1571898312009
741,-303,-585.2971898312009
742,-39,-582.3971898312008
743,-13,-580.3771898312008
744,-266,-582.6271898312008
745,36,-579.7371898312008
746,-550,-583.5471898312009
747,-411,-587.7771898312008
748,-61,-558.6812018490921
749,-206,-553.7912018490921
750,2,-522.6743322497434
751,-606,-527.6543322497433
752,-104,-515.5643322497434
753,-365,-505.00433224974336
754,-15.23913266396436,-501.136723576383
755,-582,-499.60656114131956
756,-742,-502.49656114131955
757,-273,-501.63656114131953
758,-387.7994819542452,-483.63266245172787
759,-595,-482.13266245172787
760,-367,-480.95266245172786
761,-1056.5554573070317,-488.7282170247982
762,-7063.124544840943,-555.9094624732077
763,-1,-551.2794624732077
764,-57,-549.8994624732077
765,-5,-544.2234291614201
766,41,-544.2334291614201
767,-372,-546.9134291614201
768,-1946.7456117867184,-558.0050188385466
769,-298,-545.1950188385466
770,-1889.5328710269002,-562.9003475488156
771,-663.2754759198071,-564.6231023080137
772,-90,-564.1731023080137
773,-307,-563.8031023080136
774,-32,-555.7831023080137
775,-227,-553.9431023080136
776,-2320.1039163572736,-577.6041414715863
777,-929.6397853259336,-582.4705393248456
778,-471,-582.7405393248457
779,-92,-580.1905393248456
780,-1515.2374274964834,-591.7929135998106
781,-66,-588.0229135998105
782,-377,-579.1793733070242
